Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
skillSousChefOTA_doughsName,progression,Attribute,,,"Sous Chef of the Apocalypse",,,,,,,,,,,,,,
skillSousChefOTA_doughsDesc,progression,Attribute,,,"Reading [DECEA3]Sous Chefs Cooking Bi-Monthly[-] will unlock various tiers of Soud Chef food items.\nBoost loot odds with [DECEA3]Master Chef[-]",,,,,,,,,,,,,,
skillSousChefOTA_doughsLongDesc,progression,Attribute,,x,CURRENTLY NOT USED,,,,,,,,,,,,,
perkSousChefOTA_doughsName,progression,Attribute,,,"Sous Chef of the Apocalypse",,,,,,,,,,,,,,
perkSousChefOTA_doughsDesc,progression,Attribute,,,"Reading pages of [DECEA3]Sous Chefs Cooking Bi-Monthly[-] will unlock various tiers of Soud Chef food items.\nBoost loot odds with [DECEA3]Master Chef[-].\nOne person enters, one person eats! Create more food out of thin air than you or anyone else left alive knows what to do with.",,,,,,,,,,,,,,
perkSousChefOTA_doughsLongDesc,progression,Attribute,,x,CURRENTLY NOT USED,,,,,,,,,,,,,
perkSousChefOTA_doughsRank1Desc,progression,perk Str,,,"Its My First Day!",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank1LongDesc,progression,perk Str,,,"Cook Sous Chef foods faster. Hopefully you are reading up and making basic food that most people would know how to make effortlessly.",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank2Desc,progression,perk Str,,,"Mise en place",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank2LongDesc,progression,perk Str,,,"Cook Sous Chef foods faster. You are still a chef ... for rats. Learning the basics and creating extracts would be a good idea.",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank3Desc,progression,perk Str,,,"À la carte",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank3LongDesc,progression,perk Str,,,"Cook Sous Chef foods faster. By now I pray you have been studying and can at least create simple desserts, basic ingredients, and a few simple foods that can barely be choked down.",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank4Desc,progression,perk Str,,,"It is somewhat edible",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank4LongDesc,progression,perk Str,,,"Cook Sous Chef foods faster. I hope you have been extra studious and learned more advanced recipes and techniques with complex ingredients. Hopefully you are still not crafting just a few greasy foods that only a starving person would find palatable.",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank5Desc,progression,perk Str,,,"Go cook yourself an egg",,,,,,,,,,,,,,
perkSousChefOTA_doughsRank5LongDesc,progression,perk Str,,,"Cook Sous Chef foods faster. You hopefully are learning how to make signature dishes that, finally (sigh), do not taste like wet and steaming garbage.",,,,,,,,,,,,,,
foodSCOTAT1-1,progression,Attribute,,,"Tier 1: Toasted Pine, Acorn, & Pumpkin Seed",,,,,,,,,,,,,,
foodSCOTAT1-2,progression,Attribute,,,"Tier 1: Buttered Toast & Sauteed Mushrooms",,,,,,,,,,,,,,
foodSCOTAT1-3,progression,Attribute,,,"Tier 1: Food Dehydrator & Hard tack & Jerky",,,,,,,,,,,,,,
foodSCOTAT1-4,progression,Attribute,,,"Tier 1: Popcorn & Bone Marrow",,,,,,,,,,,,,,
foodSCOTAT1-5,progression,Attribute,,,"Tier 1: Mulligan Au Jus",,,,,,,,,,,,,,
foodSCOTAT2-1,progression,Attribute,,,"Tier 2: Au Jus & Pemmican",,,,,,,,,,,,,,
foodSCOTAT2-2,progression,Attribute,,,"Tier 2: Boiled Sweet Bread & Cooking Oil",,,,,,,,,,,,,,
foodSCOTAT2-3,progression,Attribute,,,"Tier 2: Sweet Extract & Salty Extract",,,,,,,,,,,,,,
foodSCOTAT2-4,progression,Attribute,,,"Tier 2: Flour & Cream Of Tartar",,,,,,,,,,,,,,
foodSCOTAT2-5,progression,Attribute,,,"Tier 2: Milk & Red Wine Blueberry Sorbet",,,,,,,,,,,,,,
foodSCOTAT3-1,progression,Attribute,,,"Tier 3: Sweet Nut Milk & Cream",,,,,,,,,,,,,,
foodSCOTAT3-2,progression,Attribute,,,"Tier 3: Turkish Delight & Sweet Bread Cuisine",,,,,,,,,,,,,,
foodSCOTAT3-3,progression,Attribute,,,"Tier 3: Roast Beef Au Jus & Milk Curds",,,,,,,,,,,,,,
foodSCOTAT3-4,progression,Attribute,,,"Tier 3: Butter & Ice Cream",,,,,,,,,,,,,,
foodSCOTAT3-5,progression,Attribute,,,"Tier 3: Potatoes Dauphinoise & Chocolate Truffle",,,,,,,,,,,,,,
foodSCOTAT4-1,progression,Attribute,,,"Tier 4: Butter of the Gods & Bread Batter",,,,,,,,,,,,,,
foodSCOTAT4-2,progression,Attribute,,,"Tier 4: Bread & Cheese",,,,,,,,,,,,,,
foodSCOTAT4-3,progression,Attribute,,,"Tier 4: Steak and Potato Cuisine & Croque Monsieur",,,,,,,,,,,,,,
foodSCOTAT4-4,progression,Attribute,,,"Tier 4: Sweet Corn Blueberry Muffin & Boeuf Bourguignon",,,,,,,,,,,,,,
foodSCOTAT4-5,progression,Attribute,,,"Tier 4: Egg Souffle & Raspberry Macaron",,,,,,,,,,,,,,
foodSkillMagazineSousChefOTA_doughs,items,Food,,,"Page of Sous Chefs Cooking Bi-Monthly",,,,,,,,,,,,,,
foodSkillMagazineSousChefOTA_doughsDesc,items,Food,,,"Learn to cook dozens of amazing meals and become a Master Sous Chef!\n\nImproves Sous Chef Of the Apocalypse food crafting skill.",,,,,,,,,,,,,,
foodPumpkinSeedToasted_doughs,items,Food,,,"Toasted Pumpkin Seed",,,,,,,,,,,,,,
foodPumpkinSeedToasted_doughsDesc,items,Food,,,"Delicious toasted pumpkin seed.\nThese probably are worth more in the trash the way you burned them like a child playing with fire. For shame!  The Duke surely wept.",,,,,,,,,,,,,,
foodPineSeedToasted_doughs,items,Food,,,"Toasted Pine Seed",,,,,,,,,,,,,,
