Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
resourceZedLump_doughsZDBOD,items,Item,,,Oswald Goo,,,,,,,,,,,,,,,
resourceZedLump_doughsZDBODDesc,items,Item,,,Oswald Goo is a key resource for making organic block destroying pipe bombs and can be harvested from goo left behind from Oswald.,,,,,,,,,,,,,,
thrownAmmoPipeBomb_doughsZDBOD,items,Gun,,,Oswald Goo Bomb (Ammo),,,,,,,,,,,,,,
thrownAmmoPipeBomb_doughsZDBODDesc,items,Gun,,,"Make organic destroying bombs by enhancing regular pipe bombs with Oswald goo. These also damage regular blocks.\nLight with [action:local:Secondary]\nThrow with [action:local:Primary]",,,,,,,,,,,,,,
statOrganicDamage_doughsZDBOD,ui_display,Item stat,,,Organic Explosion Damage,,,,,,,,,,,,,,
terrDirt_doughs001_ZDBOD,blocks,Terrain,,,Oswald Goo,,,,,,,,,,,,,,
terrDirt_doughs001_ZDBODDesc,blocks,Terrain,,,A most amazing material if you are 65 years old.,,,,,,,,,,,,,,
mineCandyTin_doughs001_ZDBOD,blocks,Trap,,,Tin Land Mine,,,,,,,,,,,,,,
mineCandyTin_doughs001_ZDBODDesc,blocks,Trap,,,A candy tin land mine. Trick or treat!,,,,,,,,,,,,,,
cntBarrelGasSingle00_doughs001_ZDBOD,blocks,Block,,,Rusty Explosive Barrel,,,,,,,,,,,,,,
cntBarrelGasSingle00_doughs001_ZDBODDesc,blocks,Block,,,A Rusty Explosive Barrel,,,,,,,,,,,,,,
zombieSpider_doughsZDBOD,entityclasses,Entity,,,Margaret,,,,,,,,,,,,,,
zombieSpiderFeral_doughsZDBOD,entityclasses,Entity,,,Feral Margaret,,,,,,,,,,,,,,
zombieSpiderRadiated_doughsZDBOD,entityclasses,Entity,,,Radiated Margaret,,,,,,,,,,,,,,
zombieUtilityWorker_doughsZDBOD,entityclasses,Entity,,,Oswald,,,,,,,,,,,,,,
zombieUtilityWorkerFeral_doughsZDBOD,entityclasses,Entity,,,Feral Oswald,,,,,,,,,,,,,,
zombieUtilityWorkerRadiated_doughsZDBOD,entityclasses,Entity,,,Radiated Oswald,,,,,,,,,,,,,,
zombieBurnt_doughsZDBOD,entityclasses,Entity,,,Matilda,,,,,,,,,,,,,,
zombieBurntFeral_doughsZDBOD,entityclasses,Entity,,,Feral Matilda,,,,,,,,,,,,,,
zombieBurntRadiated_doughsZDBOD,entityclasses,Entity,,,Radiated Matilda,,,,,,,,,,,,,,
zombieMaleHazmat_doughsZDBOD,entityclasses,Entity,,,Charlotte,,,,,,,,,,,,,,
zombieMaleHazmatFeral_doughsZDBOD,entityclasses,Entity,,,Feral Charlotte,,,,,,,,,,,,,,
zombieMaleHazmatRadiated_doughsZDBOD,entityclasses,Entity,,,Radiated Charlotte,,,,,,,,,,,,,,
